Date/Time,Total_Demand_kWh,Aircon_kWh,Plugs_kWh,Lighting_kWh,Other_kWh
6/04/2024 15:00,0.1057,0.036608,0.059567,0.004985,0.004541
6/04/2024 16:00,0.2338,0.087401,0.121231,0.011743,0.013425
6/04/2024 17:00,1.4536,0.547069,0.663537,0.099015,0.143978
6/04/2024 18:00,2.8652,1.036259,1.234329,0.238967,0.355644
6/04/2024 19:00,2.9849,1.104718,1.400487,0.302745,0.17695
6/04/2024 20:00,1.334,0.512664,0.642955,0.152099,0.026282
6/04/2024 21:00,0.7671,0.291353,0.37333,0.091203,0.011214
6/04/2024 22:00,2.3474,0.846321,1.195525,0.276639,0.028915
6/04/2024 23:00,2.1953,0.654228,1.281862,0.228359,0.03085
7/04/2024 0:00,0.9202,0.209055,0.619807,0.076624,0.014715
7/04/2024 1:00,0.1494,0.030612,0.104559,0.011321,0.002907
7/04/2024 2:00,0.1567,0.031439,0.10983,0.012025,0.003407
7/04/2024 3:00,0.1839,0.037275,0.128529,0.01392,0.004176
7/04/2024 4:00,0.1476,0.030644,0.1025,0.011032,0.003424
7/04/2024 5:00,0.1455,0.037732,0.093305,0.011464,0.002999
7/04/2024 6:00,0.1798,0.056073,0.102635,0.017646,0.003446
7/04/2024 7:00,2.2246,0.894695,1.090249,0.202734,0.036923
7/04/2024 8:00,2.5493,1.027659,1.279796,0.187449,0.054397
7/04/2024 9:00,1.9641,0.665022,1.120797,0.127473,0.050809
7/04/2024 10:00,0.7784,0.229761,0.465068,0.050537,0.033034
7/04/2024 11:00,0.342,0.210367,0.051553,0.044589,0.035492
7/04/2024 12:00,0.8799,0.540607,0.120732,0.106595,0.111967
7/04/2024 13:00,1.9068,0.565155,1.149981,0.095167,0.096496
7/04/2024 14:00,1.2972,0.412859,0.764428,0.063066,0.056848
7/04/2024 15:00,3.0619,1.060444,1.725514,0.144411,0.131531
7/04/2024 16:00,4.1879,1.565557,2.171521,0.210353,0.240469
7/04/2024 17:00,4.2526,1.600487,1.941219,0.289676,0.421218
7/04/2024 18:00,1.0183,0.368289,0.438684,0.08493,0.126397
7/04/2024 19:00,0.8558,0.316733,0.401533,0.0868,0.050733
7/04/2024 20:00,1.9503,0.749512,0.939996,0.222368,0.038424
7/04/2024 21:00,0.3045,0.115653,0.148193,0.036203,0.004451
7/04/2024 22:00,1.4984,0.540226,0.763132,0.176585,0.018457
7/04/2024 23:00,0.5619,0.167454,0.3281,0.05845,0.007896
8/04/2024 0:00,0.1569,0.035645,0.105681,0.013065,0.002509
8/04/2024 1:00,0.4693,0.096159,0.328446,0.035563,0.009132
8/04/2024 2:00,0.3319,0.066589,0.232626,0.025471,0.007215
8/04/2024 3:00,0.2327,0.047166,0.162636,0.017614,0.005284
8/04/2024 4:00,0.1733,0.03598,0.120347,0.012953,0.00402
8/04/2024 5:00,0.1619,0.041985,0.103822,0.012756,0.003337
8/04/2024 6:00,0.1587,0.049493,0.09059,0.015575,0.003042
8/04/2024 7:00,0.1577,0.063424,0.077287,0.014372,0.002617
8/04/2024 8:00,2.5869,1.042816,1.298672,0.190213,0.055199
8/04/2024 9:00,0.3565,0.120707,0.203434,0.023137,0.009222
8/04/2024 10:00,0.1201,0.03545,0.071756,0.007797,0.005097
8/04/2024 11:00,0.1179,0.072521,0.017772,0.015372,0.012235
8/04/2024 12:00,1.9641,1.206735,0.269496,0.237939,0.24993
8/04/2024 13:00,0.9047,0.268143,0.54562,0.045153,0.045784
8/04/2024 14:00,3.2776,1.043158,1.931459,0.159346,0.143636
8/04/2024 15:00,0.8618,0.298472,0.485662,0.040646,0.037021
8/04/2024 16:00,1.1495,0.429716,0.596042,0.057738,0.066004
8/04/2024 17:00,1.0828,0.407517,0.494275,0.073758,0.107251
8/04/2024 18:00,0.7295,0.263839,0.314269,0.060843,0.090549
8/04/2024 19:00,1.785,0.660632,0.837505,0.181045,0.105818
8/04/2024 20:00,0.4235,0.162754,0.204116,0.048286,0.008344
8/04/2024 21:00,0.4819,0.183031,0.234529,0.057295,0.007045
8/04/2024 22:00,1.2808,0.461774,0.652308,0.150941,0.015777
8/04/2024 23:00,2.2069,0.657685,1.288636,0.229566,0.031013
9/04/2024 0:00,1.886,0.428469,1.270328,0.157044,0.030158
9/04/2024 1:00,0.2276,0.046635,0.159289,0.017247,0.004429
9/04/2024 2:00,0.4066,0.081576,0.284982,0.031203,0.008839
9/04/2024 3:00,0.4005,0.081178,0.279912,0.030315,0.009095
9/04/2024 4:00,0.3975,0.082528,0.276042,0.02971,0.00922
9/04/2024 5:00,0.3975,0.103082,0.254906,0.031319,0.008193
9/04/2024 6:00,0.4286,0.133665,0.244656,0.042063,0.008215
